Character,Absolute Frequency,Relative Frequency,Weight
倉,45,0.000310,0.568332
個,40,0.000275,0.639374
倌,12,0.000083,2.131246
倍,39,0.000268,0.655768
倏,22,0.000151,1.162498
們,15,0.000103,1.704996
倒,29,0.000199,0.881895
倔,20,0.000138,1.278747
倖,37,0.000255,0.691215
倘,25,0.000172,1.022998
候,41,0.000282,0.623779
倚,33,0.000227,0.774998
借,41,0.000282,0.623779
倡,24,0.000165,1.065623
倥,24,0.000165,1.065623
倦,15,0.000103,1.704996
倨,28,0.000193,0.913391
倩,24,0.000165,1.065623
倪,23,0.000158,1.111954
倫,29,0.000199,0.881895
倬,14,0.000096,1.826782
倭,20,0.000138,1.278747
偃,20,0.000138,1.278747
假,20,0.000138,1.278747
偈,18,0.000124,1.420830
偉,32,0.000220,0.799217
偌,19,0.000131,1.346050
偎,14,0.000096,1.826782
偏,36,0.000248,0.710415
偕,24,0.000165,1.065623
做,26,0.000179,0.983652
停,30,0.000206,0.852498
健,39,0.000268,0.655768
偪,19,0.000131,1.346050
偬,21,0.000144,1.217855
側,40,0.000275,0.639374
偵,20,0.000138,1.278747
偶,27,0.000186,0.947220
偷,32,0.000220,0.799217
傀,17,0.000117,1.504409
傅,33,0.000227,0.774998
傈,23,0.000158,1.111954
傍,27,0.000186,0.947220
傑,28,0.000193,0.913391
傖,25,0.000172,1.022998
傘,29,0.000199,0.881895
傢,43,0.000296,0.594766
催,24,0.000165,1.065623
傯,30,0.000206,0.852498
傲,17,0.000117,1.504409
傳,22,0.000151,1.162498
傴,13,0.000089,1.967304
債,30,0.000206,0.852498
傷,43,0.000296,0.594766
傻,24,0.000165,1.065623
傾,28,0.000193,0.913391
僂,13,0.000089,1.967304
僅,31,0.000213,0.824998
僉,16,0.000110,1.598434
像,42,0.000289,0.608927
僑,35,0.000241,0.730713
僖,27,0.000186,0.947220
僚,26,0.000179,0.983652
僥,30,0.000206,0.852498
僧,13,0.000089,1.967304
僭,24,0.000165,1.065623
僮,24,0.000165,1.065623
僵,23,0.000158,1.111954
價,33,0.000227,0.774998
僻,36,0.000248,0.710415
儀,28,0.000193,0.913391
儂,23,0.000158,1.111954
億,28,0.000193,0.913391
儈,25,0.000172,1.022998
儉,37,0.000255,0.691215
儐,15,0.000103,1.704996
儒,31,0.000213,0.824998
儔,24,0.000165,1.065623
儕,24,0.000165,1.065623
儗,23,0.000158,1.111954
儘,28,0.000193,0.913391
償,24,0.000165,1.065623
儡,22,0.000151,1.162498
優,34,0.000234,0.752204
儲,33,0.000227,0.774998
儷,21,0.000144,1.217855
儺,21,0.000144,1.217855
儻,23,0.000158,1.111954
儼,19,0.000131,1.346050
儿,26,0.000179,0.983652
兀,19,0.000131,1.346050
允,36,0.000248,0.710415
元,36,0.000248,0.710415
兄,33,0.000227,0.774998
充,20,0.000138,1.278747
兆,49,0.000337,0.521938
兇,35,0.000241,0.730713
先,45,0.000310,0.568332
光,41,0.000282,0.623779
克,31,0.000213,0.824998
兌,36,0.000248,0.710415
免,25,0.000172,1.022998
兎,26,0.000179,0.983652
兔,36,0.000248,0.710415
兕,13,0.000089,1.967304
兗,16,0.000110,1.598434
党,23,0.000158,1.111954
兜,41,0.000282,0.623779
兢,27,0.000186,0.947220
入,47,0.000323,0.544148
內,29,0.000199,0.881895
全,37,0.000255,0.691215
兩,22,0.000151,1.162498
八,36,0.000248,0.710415
公,30,0.000206,0.852498
六,44,0.000303,0.581249
兮,24,0.000165,1.065623
共,23,0.000158,1.111954
兵,44,0.000303,0.581249
其,29,0.000199,0.881895
具,43,0.000296,0.594766
典,36,0.000248,0.710415
兼,30,0.000206,0.852498
冀,20,0.000138,1.278747
冂,19,0.000131,1.346050
冄,35,0.000241,0.730713
冉,34,0.000234,0.752204
再,31,0.000213,0.824998
冐,17,0.000117,1.504409
冒,26,0.000179,0.983652
冕,40,0.000275,0.639374
冖,11,0.000076,2.324995
冗,34,0.000234,0.752204
冠,30,0.000206,0.852498
冢,22,0.000151,1.162498
冤,30,0.000206,0.852498
冥,25,0.000172,1.022998
冪,33,0.000227,0.774998
冫,15,0.000103,1.704996
冬,34,0.000234,0.752204
冰,24,0.000165,1.065623
冱,13,0.000089,1.967304
冲,18,0.000124,1.420830
决,28,0.000193,0.913391
况,26,0.000179,0.983652
冶,16,0.000110,1.598434
冷,39,0.000268,0.655768
冽,22,0.000151,1.162498
凄,18,0.000124,1.420830
准,27,0.000186,0.947220
凈,19,0.000131,1.346050
凉,16,0.000110,1.598434
凋,17,0.000117,1.504409
凌,31,0.000213,0.824998
凍,24,0.000165,1.065623
减,15,0.000103,1.704996
凛,28,0.000193,0.913391
凝,23,0.000158,1.111954
几,32,0.000220,0.799217
凡,34,0.000234,0.752204
凭,20,0.000138,1.278747
凰,27,0.000186,0.947220
凱,17,0.000117,1.504409
凳,30,0.000206,0.852498
凴,22,0.000151,1.162498
凵,24,0.000165,1.065623
凸,24,0.000165,1.065623
凹,40,0.000275,0.639374
出,36,0.000248,0.710415
函,28,0.000193,0.913391
刀,24,0.000165,1.065623
刁,21,0.000144,1.217855
刃,32,0.000220,0.799217
分,43,0.000296,0.594766
切,34,0.000234,0.752204
刈,23,0.000158,1.111954
刊,40,0.000275,0.639374
刎,26,0.000179,0.983652
划,21,0.000144,1.217855
刖,27,0.000186,0.947220
列,30,0.000206,0.852498
初,44,0.000303,0.581249
删,17,0.000117,1.504409
判,32,0.000220,0.799217
別,26,0.000179,0.983652
刦,29,0.000199,0.881895
刨,27,0.000186,0.947220
利,48,0.000330,0.532811
刮,30,0.000206,0.852498
到,24,0.000165,1.065623
刳,20,0.000138,1.278747
制,42,0.000289,0.608927
刷,34,0.000234,0.752204
券,33,0.000227,0.774998
刹,15,0.000103,1.704996
刺,22,0.000151,1.162498
刻,33,0.000227,0.774998
剃,37,0.000255,0.691215
剄,16,0.000110,1.598434
則,31,0.000213,0.824998
剉,16,0.000110,1.598434
削,33,0.000227,0.774998
剌,30,0.000206,0.852498
前,34,0.000234,0.752204
剔,35,0.000241,0.730713
剖,29,0.000199,0.881895
剛,23,0.000158,1.111954
剜,13,0.000089,1.967304
剝,27,0.000186,0.947220
剞,15,0.000103,1.704996
剩,38,0.000261,0.673025
剪,29,0.000199,0.881895
剮,21,0.000144,1.217855
副,44,0.000303,0.581249
割,33,0.000227,0.774998
剴,27,0.000186,0.947220
剷,21,0.000144,1.217855
剹,21,0.000144,1.217855
剽,21,0.000144,1.217855
劂,17,0.000117,1.504409
劇,47,0.000323,0.544148
劈,28,0.000193,0.913391
劉,24,0.000165,1.065623
劊,29,0.000199,0.881895
劍,21,0.000144,1.217855
劑,30,0.000206,0.852498
劓,16,0.000110,1.598434
力,39,0.000268,0.655768
功,46,0.000316,0.555977
加,41,0.000282,0.623779
劣,22,0.000151,1.162498
助,36,0.000248,0.710415
努,35,0.000241,0.730713
劫,25,0.000172,1.022998
劬,26,0.000179,0.983652
劭,11,0.000076,2.324995
劾,15,0.000103,1.704996
勁,27,0.000186,0.947220
勃,35,0.000241,0.730713
勅,25,0.000172,1.022998
勇,33,0.000227,0.774998
勉,33,0.000227,0.774998
勒,36,0.000248,0.710415
動,31,0.000213,0.824998
勘,21,0.000144,1.217855
務,49,0.000337,0.521938
勛,26,0.000179,0.983652
勝,33,0.000227,0.774998
勞,28,0.000193,0.913391
募,29,0.000199,0.881895
勢,39,0.000268,0.655768
勤,36,0.000248,0.710415
勰,16,0.000110,1.598434
勵,28,0.000193,0.913391
勸,26,0.000179,0.983652
勹,11,0.000076,2.324995
勺,31,0.000213,0.824998
勻,28,0.000193,0.913391
勾,32,0.000220,0.799217
勿,37,0.000255,0.691215
包,33,0.000227,0.774998
匈,35,0.000241,0.730713
匍,24,0.000165,1.065623
匏,17,0.000117,1.504409
匐,26,0.000179,0.983652
匕,22,0.000151,1.162498
化,44,0.000303,0.581249
北,20,0.000138,1.278747
匙,27,0.000186,0.947220
匚,14,0.000096,1.826782
匝,25,0.000172,1.022998
匟,21,0.000144,1.217855
匠,20,0.000138,1.278747
匡,34,0.000234,0.752204
匣,34,0.000234,0.752204
匪,28,0.000193,0.913391
匯,22,0.000151,1.162498
匱,23,0.000158,1.111954
匲,13,0.000089,1.967304
匹,25,0.000172,1.022998
医,33,0.000227,0.774998
匾,18,0.000124,1.420830
匿,20,0.000138,1.278747
區,38,0.000261,0.673025
十,42,0.000289,0.608927
千,29,0.000199,0.881895
卅,20,0.000138,1.278747
升,25,0.000172,1.022998
午,27,0.000186,0.947220
卉,34,0.000234,0.752204
半,33,0.000227,0.774998
卑,31,0.000213,0.824998
卒,36,0.000248,0.710415
卓,27,0.000186,0.947220
協,39,0.000268,0.655768
南,28,0.000193,0.913391
博,27,0.000186,0.947220
卜,30,0.000206,0.852498
卞,21,0.000144,1.217855
占,32,0.000220,0.799217
卡,26,0.000179,0.983652
卤,25,0.000172,1.022998
卦,17,0.000117,1.504409
卩,15,0.000103,1.704996
卮,19,0.000131,1.346050
卯,31,0.000213,0.824998
印,24,0.000165,1.065623
危,35,0.000241,0.730713
即,38,0.000261,0.673025
卵,38,0.000261,0.673025
卷,25,0.000172,1.022998
卸,17,0.000117,1.504409
卿,31,0.000213,0.824998
厀,34,0.000234,0.752204
厂,28,0.000193,0.913391
厄,37,0.000255,0.691215
厘,27,0.000186,0.947220
厚,33,0.000227,0.774998
厝,12,0.000083,2.131246
原,43,0.000296,0.594766
厠,30,0.000206,0.852498
厤,19,0.000131,1.346050
厥,19,0.000131,1.346050
厦,28,0.000193,0.913391
厩,31,0.000213,0.824998
厭,27,0.000186,0.947220
厮,17,0.000117,1.504409
厲,20,0.000138,1.278747
厶,18,0.000124,1.420830
去,30,0.000206,0.852498
又,22,0.000151,1.162498
叉,30,0.000206,0.852498
及,37,0.000255,0.691215
友,35,0.000241,0.730713
双,24,0.000165,1.065623
反,38,0.000261,0.673025
叔,30,0.000206,0.852498
取,36,0.000248,0.710415
受,30,0.000206,0.852498
叙,18,0.000124,1.420830
叛,23,0.000158,1.111954
叟,14,0.000096,1.826782
叡,29,0.000199,0.881895
叢,31,0.000213,0.824998
口,30,0.000206,0.852498
古,32,0.000220,0.799217
句,34,0.000234,0.752204
另,26,0.000179,0.983652
叨,22,0.000151,1.162498
叩,23,0.000158,1.111954
只,21,0.000144,1.217855
叫,29,0.000199,0.881895
召,32,0.000220,0.799217
叭,27,0.000186,0.947220
叮,20,0.000138,1.278747
可,42,0.000289,0.608927
叱,22,0.000151,1.162498
史,43,0.000296,0.594766
右,39,0.000268,0.655768
叵,16,0.000110,1.598434
叶,25,0.000172,1.022998
号,28,0.000193,0.913391
司,34,0.000234,0.752204
叹,19,0.000131,1.346050
吁,37,0.000255,0.691215
吃,26,0.000179,0.983652
各,21,0.000144,1.217855
吆,18,0.000124,1.420830
合,40,0.000275,0.639374
吉,31,0.000213,0.824998
吊,28,0.000193,0.913391
同,39,0.000268,0.655768
名,23,0.000158,1.111954
后,33,0.000227,0.774998
吏,22,0.000151,1.162498
吐,27,0.000186,0.947220
向,34,0.000234,0.752204
吒,23,0.000158,1.111954
吚,27,0.000186,0.947220
君,30,0.000206,0.852498
吝,28,0.000193,0.913391
吞,18,0.000124,1.420830
吟,33,0.000227,0.774998
吠,22,0.000151,1.162498
否,42,0.000289,0.608927
吧,22,0.000151,1.162498
吨,20,0.000138,1.278747
吩,24,0.000165,1.065623
含,27,0.000186,0.947220
听,26,0.000179,0.983652
吭,25,0.000172,1.022998
吮,33,0.000227,0.774998
启,9,0.000062,2.841661
吱,28,0.000193,0.913391
吳,20,0.000138,1.278747
吴,27,0.000186,0.947220
吵,25,0.000172,1.022998
吸,33,0.000227,0.774998
吹,33,0.000227,0.774998
吻,26,0.000179,0.983652
吼,21,0.000144,1.217855
吾,23,0.000158,1.111954
呀,31,0.000213,0.824998
呂,28,0.000193,0.913391
呃,12,0.000083,2.131246
呆,26,0.000179,0.983652
呈,34,0.000234,0.752204
呐,22,0.000151,1.162498
呢,24,0.000165,1.065623
周,39,0.000268,0.655768
呪,31,0.000213,0.824998
呱,16,0.000110,1.598434
味,38,0.000261,0.673025
呵,26,0.000179,0.983652
呶,21,0.000144,1.217855
呷,19,0.000131,1.346050
呸,25,0.000172,1.022998
呻,25,0.000172,1.022998
呼,42,0.000289,0.608927
命,33,0.000227,0.774998
咀,20,0.000138,1.278747
咄,29,0.000199,0.881895
咆,24,0.000165,1.065623
咊,36,0.000248,0.710415
咋,28,0.000193,0.913391
和,32,0.000220,0.799217
咎,28,0.000193,0.913391
咏,25,0.000172,1.022998
咐,33,0.000227,0.774998
咤,17,0.000117,1.504409
咦,14,0.000096,1.826782
咧,18,0.000124,1.420830
咨,31,0.000213,0.824998
咩,23,0.000158,1.111954
咪,8,0.000055,3.196868
咫,25,0.000172,1.022998
咬,33,0.000227,0.774998
咯,29,0.000199,0.881895
咱,20,0.000138,1.278747
咲,34,0.000234,0.752204
咳,36,0.000248,0.710415
咸,29,0.000199,0.881895
咻,26,0.000179,0.983652
咼,17,0.000117,1.504409
咽,27,0.000186,0.947220
咿,19,0.000131,1.346050
哀,24,0.000165,1.065623
品,35,0.000241,0.730713
哂,25,0.000172,1.022998
哄,22,0.000151,1.162498
哆,22,0.000151,1.162498
哇,31,0.000213,0.824998
哈,35,0.000241,0.730713
哉,39,0.000268,0.655768
員,43,0.000296,0.594766
哥,34,0.000234,0.752204
哦,33,0.000227,0.774998
哨,23,0.000158,1.111954
哩,19,0.000131,1.346050
哪,20,0.000138,1.278747
哭,35,0.000241,0.730713
哮,34,0.000234,0.752204
哲,33,0.000227,0.774998
哺,30,0.000206,0.852498
哼,25,0.000172,1.022998
哽,20,0.000138,1.278747
哿,12,0.000083,2.131246
唁,18,0.000124,1.420830
唄,22,0.000151,1.162498
唆,24,0.000165,1.065623
唇,33,0.000227,0.774998
唉,26,0.000179,0.983652
唏,14,0.000096,1.826782
唐,28,0.000193,0.913391
唬,20,0.000138,1.278747
售,28,0.000193,0.913391
唯,32,0.000220,0.799217
唱,40,0.000275,0.639374
唳,20,0.000138,1.278747
唷,17,0.000117,1.504409
唸,43,0.000296,0.594766
唾,24,0.000165,1.065623
啁,20,0.000138,1.278747
啃,21,0.000144,1.217855
啄,26,0.000179,0.983652
商,37,0.000255,0.691215
啊,24,0.000165,1.065623
問,45,0.000310,0.568332
啑,17,0.000117,1.504409
啕,18,0.000124,1.420830
啖,21,0.000144,1.217855
啜,26,0.000179,0.983652
啞,20,0.000138,1.278747
啡,29,0.000199,0.881895
啻,33,0.000227,0.774998
啼,29,0.000199,0.881895
啾,38,0.000261,0.673025
喀,30,0.000206,0.852498
喂,21,0.000144,1.217855
喃,17,0.000117,1.504409
善,35,0.000241,0.730713
喇,18,0.000124,1.420830
喉,29,0.000199,0.881895
喊,34,0.000234,0.752204
喋,15,0.000103,1.704996
喔,20,0.000138,1.278747
喘,31,0.000213,0.824998
喙,25,0.000172,1.022998
喚,23,0.000158,1.111954
喜,48,0.000330,0.532811
喝,27,0.000186,0.947220
喟,22,0.000151,1.162498
喧,26,0.000179,0.983652
喪,26,0.000179,0.983652
喬,24,0.000165,1.065623
單,18,0.000124,1.420830
嗄,13,0.000089,1.967304
嗅,33,0.000227,0.774998
嗆,30,0.000206,0.852498
嗇,13,0.000089,1.967304
嗉,17,0.000117,1.504409
嗎,28,0.000193,0.913391
嗑,18,0.000124,1.420830
嗓,19,0.000131,1.346050
嗔,12,0.000083,2.131246
嗚,32,0.000220,0.799217
嗜,28,0.000193,0.913391
嗟,17,0.000117,1.504409
嗡,32,0.000220,0.799217
嗣,31,0.000213,0.824998
嗤,29,0.000199,0.881895
嗶,13,0.000089,1.967304
嗷,20,0.000138,1.278747
嗽,29,0.000199,0.881895
嗾,33,0.000227,0.774998
嘀,18,0.000124,1.420830
嘆,25,0.000172,1.022998
嘈,16,0.000110,1.598434
嘉,23,0.000158,1.111954
嘍,18,0.000124,1.420830
嘎,21,0.000144,1.217855
嘔,27,0.000186,0.947220
嘖,18,0.000124,1.420830
嘗,27,0.000186,0.947220
嘟,15,0.000103,1.704996
嘩,23,0.000158,1.111954
嘮,27,0.000186,0.947220
嘯,30,0.000206,0.852498
嘰,17,0.000117,1.504409
嘱,17,0.000117,1.504409
嘲,23,0.000158,1.111954
嘴,28,0.000193,0.913391
嘶,26,0.000179,0.983652
嘸,8,0.000055,3.196868
嘹,11,0.000076,2.324995
嘻,22,0.000151,1.162498
嘿,23,0.000158,1.111954
噌,14,0.000096,1.826782
噎,32,0.000220,0.799217
噓,30,0.000206,0.852498
噢,24,0.000165,1.065623
噤,20,0.000138,1.278747
噥,23,0.000158,1.111954
器,40,0.000275,0.639374
噩,15,0.000103,1.704996
噪,30,0.000206,0.852498
噫,31,0.000213,0.824998
噬,19,0.000131,1.346050
噯,13,0.000089,1.967304
噱,21,0.000144,1.217855
噴,28,0.000193,0.913391
噶,26,0.000179,0.983652
嚀,17,0.000117,1.504409
嚅,14,0.000096,1.826782
嚆,16,0.000110,1.598434
嚇,18,0.000124,1.420830
嚎,29,0.000199,0.881895
嚕,13,0.000089,1.967304
嚙,17,0.000117,1.504409
嚨,22,0.000151,1.162498
嚴,30,0.000206,0.852498
嚶,25,0.000172,1.022998
嚼,21,0.000144,1.217855
囀,27,0.000186,0.947220
囁,25,0.000172,1.022998
囂,20,0.000138,1.278747
囈,21,0.000144,1.217855
囊,23,0.000158,1.111954
囑,32,0.000220,0.799217
囗,22,0.000151,1.162498
囙,31,0.000213,0.824998
囚,22,0.000151,1.162498
四,40,0.000275,0.639374
囝,12,0.000083,2.131246
回,40,0.000275,0.639374
因,45,0.000310,0.568332
团,16,0.000110,1.598434
囤,23,0.000158,1.111954
囪,29,0.000199,0.881895
囫,18,0.000124,1.420830
园,19,0.000131,1.346050
困,28,0.000193,0.913391
囹,14,0.000096,1.826782
固,37,0.000255,0.691215
囿,20,0.000138,1.278747
圃,29,0.000199,0.881895
圄,20,0.000138,1.278747
圈,20,0.000138,1.278747
圉,23,0.000158,1.111954
國,33,0.000227,0.774998
圍,27,0.000186,0.947220
園,34,0.000234,0.752204
圓,39,0.000268,0.655768
圖,27,0.000186,0.947220
團,28,0.000193,0.913391
圜,14,0.000096,1.826782
土,30,0.000206,0.852498
圣,23,0.000158,1.111954
圩,15,0.000103,1.704996
圬,22,0.000151,1.162498
圭,21,0.000144,1.217855
圯,13,0.000089,1.967304
地,32,0.000220,0.799217
圳,19,0.000131,1.346050
圻,22,0.000151,1.162498
圾,23,0.000158,1.111954
址,25,0.000172,1.022998
坂,28,0.000193,0.913391
均,30,0.000206,0.852498
坊,27,0.000186,0.947220
坍,22,0.000151,1.162498
坎,28,0.000193,0.913391
坏,24,0.000165,1.065623
坐,20,0.000138,1.278747
坑,21,0.000144,1.217855
块,27,0.000186,0.947220
坡,28,0.000193,0.913391
坤,38,0.000261,0.673025
坦,28,0.000193,0.913391
坩,23,0.000158,1.111954
坪,25,0.000172,1.022998
坯,20,0.000138,1.278747
坷,22,0.000151,1.162498
坼,18,0.000124,1.420830
坿,28,0.000193,0.913391
垂,37,0.000255,0.691215
型,48,0.000330,0.532811
垒,22,0.000151,1.162498
垓,15,0.000103,1.704996
垛,18,0.000124,1.420830
垠,20,0.000138,1.278747
垢,32,0.000220,0.799217
垣,24,0.000165,1.065623
垤,14,0.000096,1.826782
垦,24,0.000165,1.065623
埂,26,0.000179,0.983652
埃,28,0.000193,0.913391
埋,28,0.000193,0.913391
城,20,0.000138,1.278747
埒,8,0.000055,3.196868
埜,37,0.000255,0.691215
域,34,0.000234,0.752204
埠,20,0.000138,1.278747
埤,19,0.000131,1.346050
埴,15,0.000103,1.704996
執,28,0.000193,0.913391
培,23,0.000158,1.111954
基,28,0.000193,0.913391
堀,15,0.000103,1.704996
堂,29,0.000199,0.881895
堅,36,0.000248,0.710415
堆,27,0.000186,0.947220
堊,22,0.000151,1.162498
堋,18,0.000124,1.420830
堙,21,0.000144,1.217855
堝,23,0.000158,1.111954
堠,17,0.000117,1.504409
堡,22,0.000151,1.162498
堤,37,0.000255,0.691215
堦,22,0.000151,1.162498
堪,31,0.000213,0.824998
堯,30,0.000206,0.852498
堰,26,0.000179,0.983652
報,35,0.000241,0.730713
場,39,0.000268,0.655768
堵,27,0.000186,0.947220
塊,30,0.000206,0.852498
塋,17,0.000117,1.504409
塌,21,0.000144,1.217855
塑,32,0.000220,0.799217
塒,20,0.000138,1.278747
塔,25,0.000172,1.022998
塗,32,0.000220,0.799217
塘,25,0.000172,1.022998
塞,21,0.000144,1.217855
塟,22,0.000151,1.162498
塢,32,0.000220,0.799217
塵,31,0.000213,0.824998
塹,24,0.000165,1.065623
塼,15,0.000103,1.704996
塾,18,0.000124,1.420830
墀,23,0.000158,1.111954
境,25,0.000172,1.022998
墅,33,0.000227,0.774998
墊,23,0.000158,1.111954
墓,39,0.000268,0.655768
墜,29,0.000199,0.881895
增,20,0.000138,1.278747
墟,31,0.000213,0.824998
墨,23,0.000158,1.111954
墩,29,0.000199,0.881895
墮,29,0.000199,0.881895
墳,41,0.000282,0.623779
墻,28,0.000193,0.913391
墾,29,0.000199,0.881895
壁,31,0.000213,0.824998
壅,12,0.000083,2.131246
壇,21,0.000144,1.217855
壑,24,0.000165,1.065623
壓,32,0.000220,0.799217
壕,22,0.000151,1.162498
壘,25,0.000172,1.022998
壙,24,0.000165,1.065623
壞,30,0.000206,0.852498
壟,25,0.000172,1.022998
壢,20,0.000138,1.278747
壤,21,0.000144,1.217855
壩,23,0.000158,1.111954
士,38,0.000261,0.673025
壬,23,0.000158,1.111954
壯,24,0.000165,1.065623
声,30,0.000206,0.852498
壳,19,0.000131,1.346050
壹,25,0.000172,1.022998
壺,28,0.000193,0.913391
