Radical,Absolute Frequency,Relative Frequency,Weight
爿,13,0.000089,52.253055
牙,20,0.000138,33.964486
玄,30,0.000206,22.642991
長,31,0.000213,21.912572
韭,24,0.000165,28.303738
飛,35,0.000241,19.408278
高,34,0.000234,19.979109
鬯,17,0.000117,39.958219
黽,18,0.000124,37.738318
鼎,30,0.000206,22.642991
龜,28,0.000193,24.260347
龠,17,0.000117,39.958219
